brand,website,brightfield_rank,brightfield_funnel_pct,state,abbreviation,method,result,details,policy_url,deliverable,scraped_at
enjoy,https://enjoyhemp.co,19,11.5,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: OH,https://enjoyhemp.co/shop/,likely_yes,2026-04-07T15:51:57.823129
enjoy,https://enjoyhemp.co,19,11.5,Ohio,OH,cart_checkout,could_not_enter_zip,No zip code input field found on checkout page,,likely_yes,2026-04-07T15:51:57.823131
enjoy,https://enjoyhemp.co,19,11.5,Texas,TX,cart_checkout,could_not_enter_zip,No zip code input field found on checkout page,,likely_yes,2026-04-07T15:51:57.823132
Torch,https://torchhemp.com,20,11.4,Ohio,OH,shipping_policy,has_restrictions_other_states,Restriction language found but Ohio not mentioned: OH,https://torchhemp.com/policies/shipping-policy,likely_yes,2026-04-07T15:51:57.823135
Torch,https://torchhemp.com,20,11.4,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: OH,https://torchhemp.com/policies/shipping-policy,likely_yes,2026-04-07T15:51:57.823136
Torch,https://torchhemp.com,20,11.4,Ohio,OH,cart_checkout,no_thca_product_found,Could not find a THCA product to add to cart,,likely_yes,2026-04-07T15:51:57.823138
Torch,https://torchhemp.com,20,11.4,Texas,TX,cart_checkout,no_thca_product_found,Could not find a THCA product to add to cart,,likely_yes,2026-04-07T15:51:57.823140
TRE House,https://trehouse.com,21,11.4,Ohio,OH,shipping_policy,has_restrictions_other_states,Restriction language found but Ohio not mentioned: OH,https://trehouse.com/pages/shipping-information,yes,2026-04-07T15:51:57.823141
TRE House,https://trehouse.com,21,11.4,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: OH,https://trehouse.com/pages/shipping-information,yes,2026-04-07T15:51:57.823142
TRE House,https://trehouse.com,21,11.4,Ohio,OH,cart_checkout,deliverable,Shipping options available (found 'free shipping' on checkout page),,yes,2026-04-07T15:51:57.823144
TRE House,https://trehouse.com,21,11.4,Texas,TX,cart_checkout,deliverable,Shipping options available (found 'free shipping' on checkout page),,yes,2026-04-07T15:51:57.823145
Exhale,https://www.exhalewell.com,22,11.3,Ohio,OH,shipping_policy,has_restrictions_other_states,Restriction language found but Ohio not mentioned: do not ship,https://www.exhalewell.com/shipping-policy,likely_yes,2026-04-07T15:51:57.823146
Exhale,https://www.exhalewell.com,22,11.3,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: do not ship,https://www.exhalewell.com/shipping-policy,likely_yes,2026-04-07T15:51:57.823148
Exhale,https://www.exhalewell.com,22,11.3,Ohio,OH,cart_checkout,could_not_enter_zip,No zip code input field found on checkout page,,likely_yes,2026-04-07T15:51:57.823149
Exhale,https://www.exhalewell.com,22,11.3,Texas,TX,cart_checkout,could_not_enter_zip,No zip code input field found on checkout page,,likely_yes,2026-04-07T15:51:57.823150
ELYXR,https://www.elyxr.com,23,11.0,Ohio,OH,shipping_policy,has_restrictions_other_states,"Restriction language found but Ohio not mentioned: OH, restricted state, restricted states",https://www.elyxr.com/policies/shipping-policy,likely_yes,2026-04-07T15:51:57.823152
ELYXR,https://www.elyxr.com,23,11.0,Texas,TX,shipping_policy,has_restrictions_other_states,"Restriction language found but Texas not mentioned: OH, restricted state, restricted states",https://www.elyxr.com/policies/shipping-policy,likely_yes,2026-04-07T15:51:57.823153
ELYXR,https://www.elyxr.com,23,11.0,Ohio,OH,cart_checkout,could_not_enter_zip,No zip code input field found on checkout page,,likely_yes,2026-04-07T15:51:57.823154
ELYXR,https://www.elyxr.com,23,11.0,Texas,TX,cart_checkout,could_not_enter_zip,No zip code input field found on checkout page,,likely_yes,2026-04-07T15:51:57.823156
